,bpr_classic_calibrated_constant_alpha_0_1,round,bpr_classic_calibrated_constant_alpha_0_2,bpr_classic_calibrated_constant_alpha_0_3,bpr_classic_calibrated_constant_alpha_0_4,bpr_classic_calibrated_constant_alpha_0_5,bpr_classic_calibrated_constant_alpha_0_6,bpr_classic_calibrated_constant_alpha_0_7,bpr_classic_calibrated_constant_alpha_0_8,bpr_classic_calibrated_constant_alpha_0_9
0,0.3180253326892853,0,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
1,0.3180253326892853,1,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
2,0.3180253326892853,2,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
3,0.3180253326892853,3,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
4,0.3180253326892853,4,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
5,0.3180253326892853,5,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
6,0.3180253326892853,6,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
7,0.3180253326892853,7,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
8,0.3180253326892853,8,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
9,0.3180253326892853,9,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
10,0.3180253326892853,10,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918,0.312785704433918
